"Reference","Value","Datasheet","Footprint","Qty","DNP"
"AE1","Antenna_Shield","~","RF_Antenna:Texas_SWRA117D_2.4GHz_Left","1",""
"C1,C2,C14","100µF","~","-- mixed values --","3",""
"C3,C15,C16","22µF","~","-- mixed values --","3",""
"C4","1µF","~","","1",""
"C5","10nF","~","","1",""
"C6,C7,C9,C10,C11,C12","100nF","~","","6",""
"C8","10µF","~","","1",""
"C13","7.8µF","~","","1",""
"C17,C18","24pF","~","","2",""
"C19,C20","DNP","~","","2","DNP"
"D1","W","~","LED_SMD:LED_PLCC_2835","1",""
"D2","R","~","LED_SMD:LED_Luminus_MP-3030-1100_3.0x3.0mm","1",""
"D3","G","~","LED_SMD:LED_Luminus_MP-3030-1100_3.0x3.0mm","1",""
"D4","B","~","LED_SMD:LED_Luminus_MP-3030-1100_3.0x3.0mm","1",""
"D5,D6","SS34","~","Diode_SMD:D_SMA","2",""
"J1","USB_C_Receptacle_USB2.0_16P","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","","1",""
"J2","Conn_01x02_Pin","~","","1",""
"L1","68µ","~","Inductor_SMD:L_Ferrocore_DLG-0504","1",""
"L2","2nH","~","","1",""
"L3","5.6µH","~","","1",""
"L4","24nH","~","","1",""
"L5","0","~","","1",""
"Q1,Q2,Q3,Q4","MMBT3904","https://www.onsemi.com/pdf/datasheet/pzt3904-d.pdf","Package_TO_SOT_SMD:SOT-23","4",""
"Q5,Q6,Q7,Q8","DO3407B","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_MOSFETs","Package_TO_SOT_SMD:SOT-23-3","4",""
"R1,R3,R5,R7","1k","~","","4",""
"R2,R4,R6,R8","200","~","","4",""
"R9,R10,R13,R14","5k1","~","","4",""
"R11,R12","10k","~","","2",""
"R15,R22","0.333","~","-- mixed values --","2",""
"R16","2k2","~","","1",""
"R17","3k6","~","","1",""
"SW1,SW2","SW_Push","~","","2",""
"U1","ESP8685H4","ESP8685H4","","1",""
"U2","AL8843","https://www.lcsc.com/datasheet/lcsc_datasheet_2412251103_Diodes-Incorporated-AL8843SP-13_C507866.pdf","Package_SO:Diodes_SO-8EP","1",""
"U4","USBLC6-4SC6","https://www.st.com/resource/en/datasheet/usblc6-4.pdf","Package_TO_SOT_SMD:SOT-23-6","1",""
"U5","MC34063AD","http://www.onsemi.com/pub_link/Collateral/MC34063A-D.PDF","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1",""
"Y1","Crystal_GND24","~","","1",""
